,Company,Layoff Status_x,No. of Employees_x,No. of Employees_y,Layoff Status_y,No. of Employees
242,Jabil Inc.,Layoff Permanent,253,1181,Closure Temporary,738
243,Jabil Inc.,Layoff Permanent,253,1181,Layoff Permanent,253
244,Jabil Inc.,Layoff Permanent,253,1181,Layoff Temporary,138
245,Jabil Inc.,Layoff Temporary,138,1181,Closure Permanent,52
246,Jabil Inc.,Layoff Temporary,138,1181,Closure Temporary,738
247,Jabil Inc.,Layoff Temporary,138,1181,Layoff Permanent,253
248,Jabil Inc.,Layoff Temporary,138,1181,Layoff Temporary,138
249,Jacmar Foodservice Distribution,Layoff Permanent,92,92,Layoff Permanent,92
250,Janssen Research & Development,Closure Permanent,55,55,Closure Permanent,55
251,Javier's Newport Beach,Closure Temporary,239,239,Closure Temporary,239
252,Jensen Enterprises Inc,Closure Permanent,40,40,Closure Permanent,40
253,John Muir Health (JMH),Layoff Permanent,164,164,Layoff Permanent,164
254,Johns Manville,Closure Temporary,54,54,Closure Temporary,54
255,Johnson & Johnson,Closure Permanent,84,84,Closure Permanent,84
256,Joy Signal Technology,Closure Permanent,127,127,Closure Permanent,127
257,Juniper Networks,Layoff Permanent,166,166,Layoff Permanent,166
258,Juul Labs,Layoff Permanent,26,26,Layoff Permanent,26
259,Kaiser Foundation Hospitals,Layoff Permanent,8,8,Layoff Permanent,8
260,KeHE Distributors,Layoff Permanent,80,80,Layoff Permanent,80
261,Kelly Toys Holding,Closure Permanent,8,8,Closure Permanent,8
262,Kett Engineering Corporation,Layoff Permanent,180,180,Layoff Permanent,180
263,Kinecta Federal Credit Union,Layoff Permanent,85,85,Layoff Permanent,85
264,Kings Garden,Layoff Permanent,70,70,Layoff Permanent,70
265,Kitayama Brothers,Closure Permanent,56,56,Closure Permanent,56
266,Knauf Insulation Inc.,Layoff Temporary,97,97,Layoff Temporary,97
267,Knox Attorney Service,Closure Permanent,85,85,Closure Permanent,85
268,Kraft Heinz Foods Company,Closure Permanent,60,60,Closure Permanent,60
269,Kuubix Global,Closure Permanent,7,7,Closure Permanent,7
270,L3 Technologies,Closure Permanent,134,134,Closure Permanent,134
271,LAVO Italian Restaurant,Closure Permanent,83,83,Closure Permanent,83
272,LEER Group,Closure Permanent,27,27,Closure Permanent,27
273,"La Reina, CA Religious Nonprofit Corp",Closure Permanent,57,57,Closure Permanent,57
274,La Tortilla Factory,Closure Permanent,132,132,Closure Permanent,132
275,Lance Camper Mfg. Corp,Layoff Permanent,123,123,Layoff Permanent,123
276,Langmuir Systems,Closure Permanent,16,16,Closure Permanent,16
277,Lazy Dog Restaurant and Bar,Closure Permanent,109,109,Closure Permanent,109
278,Legacy Supply Chain Services,Closure Permanent,53,53,Closure Permanent,53
279,"Leggett & Platt, Inc.",Closure Permanent,55,55,Closure Permanent,55
280,LendingClub Bank,Layoff Permanent,90,90,Layoff Permanent,90
281,Lendlease Americas Inc.,Closure Permanent,1,57,Closure Permanent,1
282,Lendlease Americas Inc.,Closure Permanent,1,57,Layoff Permanent,56
283,Lendlease Americas Inc.,Layoff Permanent,56,57,Closure Permanent,1
284,Lendlease Americas Inc.,Layoff Permanent,56,57,Layoff Permanent,56
285,Levi Strauss & Co.,Layoff Permanent,146,146,Layoff Permanent,146
286,Levy Premium Foodservice,Layoff Temporary,83,83,Layoff Temporary,83
287,Lifelong Medical Care,Closure Permanent,55,55,Closure Permanent,55
288,"Liminex, Inc.",Layoff Permanent,95,95,Layoff Permanent,95
289,LinkedIn,Layoff Permanent,625,625,Layoff Permanent,625
290,Locanabio,Closure Permanent,58,58,Closure Permanent,58
291,Lockheed Martin,Layoff Permanent,69,69,Layoff Permanent,69
292,Lonza Biologics,Closure Permanent,218,218,Closure Permanent,218
293,Los Angeles Times Communications,Closure Permanent,148,316,Closure Permanent,148
294,Los Angeles Times Communications,Closure Permanent,148,316,Layoff Permanent,168
295,Los Angeles Times Communications,Layoff Permanent,168,316,Closure Permanent,148
296,Los Angeles Times Communications,Layoff Permanent,168,316,Layoff Permanent,168
297,Lowell Farms,Closure Permanent,11,11,Closure Permanent,11
298,Lumentum Operations,Layoff Permanent,82,82,Layoff Permanent,82
299,Lund Motion Products,Layoff Permanent,117,117,Layoff Permanent,117
300,"MV Transportation, Inc.",Layoff Permanent,20,20,Layoff Permanent,20
301,Macy's,Closure Permanent,68,68,Closure Permanent,68
302,Marriott,Closure Permanent,127,127,Closure Permanent,127
303,"Marvell Semiconductor, Inc.",Layoff Permanent,131,131,Layoff Permanent,131
304,MasterBrand Cabinets LLC,Layoff Permanent,90,90,Layoff Permanent,90
305,Matheson Inc,Closure Permanent,40,40,Closure Permanent,40
306,"MaxLite, Inc.",Closure Permanent,4,4,Closure Permanent,4
307,Maxar Space,Layoff Permanent,6,6,Layoff Permanent,6
308,MedMen Enterprises,Layoff Permanent,17,17,Layoff Permanent,17
309,Medtronic,Layoff Permanent,44,44,Layoff Permanent,44
310,MemorialCare Long Beach Medical Center,Layoff Permanent,58,58,Layoff Permanent,58
311,Mercy Medical Transportation,Layoff Permanent,58,58,Layoff Permanent,58
312,Microsoft,Layoff Permanent,42,42,Layoff Permanent,42
313,Mission Foods,Layoff Permanent,93,93,Layoff Permanent,93
314,Miyoko's PBC,Layoff Permanent,33,33,Layoff Permanent,33
315,Momentum for Health,Closure Permanent,86,86,Closure Permanent,86
316,Monocle,Closure Permanent,3,3,Closure Permanent,3
317,Monte Nido & Affiliates,Closure Permanent,6,6,Closure Permanent,6
318,Morrison Healthcare,Layoff Permanent,74,74,Layoff Permanent,74
319,NEOTech,Closure Permanent,76,76,Closure Permanent,76
320,NFI National Distribution Centers,Closure Permanent,31,31,Closure Permanent,31
321,NRI USA,Closure Permanent,164,164,Closure Permanent,164
322,NSI Services,Closure Permanent,198,198,Closure Permanent,198
323,NZXT,Closure Permanent,55,55,Closure Permanent,55
324,National Distribution Centers,Layoffs Unknown,7,7,Layoffs Unknown,7
325,Natural Alternatives International,Closure Temporary,66,66,Closure Temporary,66
326,Neovia Logistics Distribution,Closure Permanent,31,31,Closure Permanent,31
327,Nestle,Layoff Temporary,161,161,Layoff Temporary,161
328,Nevro Corp.,Layoff Permanent,63,63,Layoff Permanent,63
329,Newark Group,Closure Permanent,74,74,Closure Permanent,74
330,Newell Brands Distribution,Closure Permanent,48,48,Closure Permanent,48
331,NextGen Healthcare,Layoff Permanent,103,103,Layoff Permanent,103
332,Nextdoor,Layoff Permanent,99,99,Layoff Permanent,99
333,Niagara Bottling,Layoff Permanent,111,111,Layoff Permanent,111
334,"Niantic, Inc.",Closure Permanent,107,164,Closure Permanent,107
335,"Niantic, Inc.",Closure Permanent,107,164,Layoff Permanent,57
336,"Niantic, Inc.",Layoff Permanent,57,164,Closure Permanent,107
337,"Niantic, Inc.",Layoff Permanent,57,164,Layoff Permanent,57
338,Nobel House Home Furnishings,Closure Permanent,61,61,Closure Permanent,61
339,Nordson Corporation,Layoff Permanent,69,69,Layoff Permanent,69
340,Nordstrom,Closure Permanent,784,784,Closure Permanent,784
341,Northrop Grumman,Layoff Permanent,1069,1069,Layoff Permanent,1069
342,"NuVasive, Inc.",Layoff Permanent,157,157,Layoff Permanent,157
343,OTS Solutions,Layoff Permanent,27,27,Layoff Permanent,27
344,Ojai Valley Inn,Closure Temporary,870,870,Closure Temporary,870
345,"Okta, Inc.",Layoff Permanent,83,83,Layoff Permanent,83
346,"Oracle America, Inc.",Layoff Permanent,65,65,Layoff Permanent,65
347,Organic Milling,Layoff Permanent,7,7,Layoff Permanent,7
348,Orion Strategic Solutions,Layoff Permanent,10,10,Layoff Permanent,10
349,"Osso VR, Inc.",Layoff Permanent,67,67,Layoff Permanent,67
350,Owens-Brockway Glass Container,Layoff Temporary,130,130,Layoff Temporary,130
351,PIRCH,Layoff Permanent,40,40,Layoff Permanent,40
352,PKL Services Inc,Layoff Permanent,89,89,Layoff Permanent,89
353,"PLI Holdings, Inc.",Closure Permanent,217,217,Closure Permanent,217
354,"PWLC I, Inc.",Layoff Permanent,60,60,Layoff Permanent,60
355,Pac-12,Layoff Permanent,141,141,Layoff Permanent,141
356,Pacific Catch,Closure Temporary,73,73,Closure Temporary,73
357,Pacific Coast Sightseeing Tours & Charters,Layoff Permanent,68,68,Layoff Permanent,68
358,Palmdale Regional Medical Center,Closure Permanent,87,87,Closure Permanent,87
359,Para Los Ninos,Layoff Permanent,67,67,Layoff Permanent,67
360,Paramount Global,Layoff Permanent,142,142,Layoff Permanent,142
361,Parker Hannifin Corporation,Closure Permanent,8,8,Closure Permanent,8
362,"Participant Media, LLC",Closure Permanent,107,107,Closure Permanent,107
363,PayPal,Layoff Permanent,311,311,Layoff Permanent,311
364,Peloton Interactive Inc.,Closure Permanent,30,30,Closure Permanent,30
365,Pennymac,Layoff Permanent,86,86,Layoff Permanent,86
366,Penske Logistics,Layoff Permanent,95,95,Layoff Permanent,95
367,"Perfect Day, Inc.",Layoff Permanent,75,75,Layoff Permanent,75
368,"Performance Plastics, Inc.",Closure Permanent,77,77,Closure Permanent,77
369,Personalis,Layoff Permanent,62,62,Layoff Permanent,62
370,PetVet Care Centers,Closure Permanent,4,4,Closure Permanent,4
371,Petco,Layoff Permanent,56,56,Layoff Permanent,56
372,Pfizer,Layoff Permanent,52,52,Layoff Permanent,52
373,PhenomeX Inc.,Layoff Permanent,46,46,Layoff Permanent,46
374,"Phillips Tool & Die, Inc",Closure Permanent,7,7,Closure Permanent,7
375,Pixelberry Studios,Layoff Permanent,120,120,Layoff Permanent,120
376,Pizza Antica Mill Valley,Closure Permanent,43,43,Closure Permanent,43
377,Pizza Hut,Layoff Permanent,2,2,Layoff Permanent,2
378,Planet Labs PBC,Layoff Permanent,85,85,Layoff Permanent,85
379,Plenty Unlimited Inc.,Layoff Permanent,141,141,Layoff Permanent,141
380,Post Acute Registry,Closure Permanent,42,42,Closure Permanent,42
381,Primary Health,Layoff Permanent,60,60,Layoff Permanent,60
382,Project Fusion,Closure Permanent,82,82,Closure Permanent,82
383,Prolific Logistics LLC,Closure Permanent,136,136,Closure Permanent,136
384,Proterra Operating Company,Layoff Permanent,48,48,Layoff Permanent,48
385,Providence Holy Cross Medical Center,Layoff Permanent,8,8,Layoff Permanent,8
386,Pure Storage,Layoff Permanent,81,81,Layoff Permanent,81
387,QG Printing II,Closure Permanent,56,56,Closure Permanent,56
388,Qualcomm Incorporated,Layoff Permanent,1258,1258,Layoff Permanent,1258
389,Quality Fabrication Inc.,Closure Permanent,55,55,Closure Permanent,55
390,Quanex Homeshield,Closure Permanent,58,58,Closure Permanent,58
391,REACH Medical Holdings,Closure Permanent,23,23,Closure Permanent,23
392,RSN Co.,Closure Permanent,5,5,Closure Permanent,5
393,Reins International California,Closure Permanent,52,52,Closure Permanent,52
394,Renesas Electronics Corporation,Layoff Permanent,65,65,Layoff Permanent,65
395,ResMEd Inc.,Layoff Permanent,364,364,Layoff Permanent,364
396,"Resort Vacations, Inc.",Closure Permanent,24,58,Closure Permanent,24
397,"Resort Vacations, Inc.",Closure Permanent,24,58,Layoff Permanent,34
398,"Resort Vacations, Inc.",Layoff Permanent,34,58,Closure Permanent,24
399,"Resort Vacations, Inc.",Layoff Permanent,34,58,Layoff Permanent,34
400,Ridgecrest Regional Hospital,Layoff Permanent,61,61,Layoff Permanent,61
401,Rieke LLC,Closure Permanent,70,70,Closure Permanent,70
402,Riot Games,Layoff Permanent,336,336,Layoff Permanent,336
403,Rivian Automotive,Layoff Permanent,340,340,Layoff Permanent,340
404,Robert Bosch,Layoff Permanent,14,14,Layoff Permanent,14
405,Robinhood Markets,Layoff Permanent,26,26,Layoff Permanent,26
406,Rodan & Fields,Layoff Permanent,76,76,Layoff Permanent,76
407,Roku,Layoff Permanent,135,135,Layoff Permanent,135
408,Round Table Pizza,Layoff Permanent,66,66,Layoff Permanent,66
409,Ruan Transport Corporation,Closure Permanent,139,139,Closure Permanent,139
410,SAP America,Layoff Permanent,108,108,Layoff Permanent,108
411,SCAT Enterprises,Closure Permanent,48,48,Closure Permanent,48
412,SMTC Corporation,Layoff Permanent,14,14,Layoff Permanent,14
413,SP+ Corporation,Closure Permanent,84,84,Closure Permanent,84
414,SPS Ventures,Layoff Permanent,162,162,Layoff Permanent,162
415,SPT Microtechnologies USA,Closure Temporary,67,67,Closure Temporary,67
